Time,Room,Title of Presentation/Performance,Presenter Name,Department/Program,Abstract
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Seasonal Nutrient Limitation in Taneum Creek, Washington",Tyler Alling,Biological Sciences,"Two key determinants of stream ecosystem productivity are algal activity, the source of primary production of energy in a food web from solar radiation via photosynthesis, and heterotrophic activity, the bacterial and fungal consumers of this primary ecosystem production. Nitrogen (N) and phosphorus (P) concentrations often determine ecosystem productivity, and varying nutrient levels exist within an ecosystem seasonally. For example, during the fall leaf input decomposes, possibly leading to different nutrient levels compared to winter, when few leaves remain in the stream. This variation can be applied to higher trophic levels via bottom up ecosystem production whereby increased primary production increases production at higher trophic levels such as fish. We used nutrient diffusing substrata to measure seasonal changes in ecosystem nutrient limitation in two sites in Taneum Creek, which has been of interest to the Yakama Nation due to their active migratory fish repopulation efforts. In the fall we found that heterotrophic activity in Taneum Creek was co-limited by N and P at both study sites (p=0.006 upstream, p<0.001 downstream) whereas autotrophic activity was not nutrient limited. In the winter, upstream heterotrophic and downstream autotrophic production were co-limited by N and P (p=0.007, p=0.019 respectively), but autotrophic productivity upstream and heterotrophic activity downstream was not nutrient limited. This study will continue in spring and summer for a comprehensive analysis of limiting factors to autotrophic and heterotrophic activity, which will form a better understanding of ecosystem productivity to support fisheries reintroduction."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"C. elegans, as a model to study the effects of the antidepressant, escitalopram, on behavior.",Tykayah Baird,Biological Sciences,"Depression is one of the most commonly diagnosed mental disorders in the world, and the use of antidepressant drugs to help with the effects associated with depression, continues to rise.  Depression is associated with low levels of serotonin (5-HT) in the neuronal synapses of the brain.  Escitalopram (Brand name Lexapro) is an widely used antidepressant and functions as a selective serotonin reuptake inhibitor (SSRI), which increases levels of 5-HT at the synapse. While the acute effects of escitalopram are known, the effects of long-term use of escitalopram, which results in continuous elevation of 5-HT, have not yet been fully studied. We have chosen the roundworm, C. elegans as a model to examine the long-term effects of escitalopram treatment. Acute 5-HT treatment slows locomotion in worm. Upon chronic 5-HT treatment the worm will recover their speeds back to levels similar to that of untreated animals, this is a behavior termed adaptation.  In C. elegans, food serves as a stimulus that releases 5-HT into the synapses of the worm causing them to slow; escitalopram enhances this slowing on food, which is expected of a drug that inhibits reuptake of 5-HT. We have begun studies to examine whether or not the chronic or long-term treatment of escitalopram also causes adaptation.  In addition, we will test mutant worms that are defective in adaptation to 5-HT to see if they are also defective in adaptation to escitalopram.  These studies could provide insight into the genes involved in cellular pathways that could be linked to depression."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Effects of Excess Testosterone on 129S1 Mouse Adipose Tissues,Raegan Nelson,Biological Sciences,"Polycystic ovarian syndrome (PCOS) is an endocrine disorder that affects 8-10% of women at reproductive age. It is believed a combination of PCOS symptoms such as increased testosterone levels, weight gain, and polycystic ovaries may contribute to reduced fertility. The etiology of PCOS is poorly understood in women and ethical constraints limit the ability to study the syndrome. One way PCOS can be studied is using mice models. This study investigates the effect of excess dihydrotestosterone (DHT), a testosterone analog, in 129S1/SViMJ mice. The 129S1 strain is a common inbred mouse strain used for biomedical research. Mice were treated with DHT using a 90 day continuous release pellet, after which tissue samples were collected, sectioned, and stained using the hematoxylin and eosin technique. Examined adipose tissues included brown, inguinal, retinoperitineal, and gonadal fat. Quantitative analysis shows that DHT treated mice had significantly increased body weights than placebo mice. Qualitative analysis suggests increased cell sizes in DHT treated inguinal, retinoperitineal, and gonadal adipose tissues compared to placebo tissues. DHT treated brown adipose tissues appear to have larger lipid droplets than placebo tissues, rather than larger cell sizes. This preliminary data may explain the increased weight of DHT treated mice and support the 129S1 mouse strain as a PCOS model. Quantitative analysis is currently underway to examine adipose tissue changes and how they may pertain to women with PCOS. Future research will examine 129S1 mice ovaries in placebo and DHT treated mice for polycystic ovaries often present in women with PCOS."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,The Effect of Testosterone on Gene Expression in White and Brown Adipose Tissue,Courtney Simianer,Biological Sciences,"Polycystic ovarian syndrome (PCOS) is a disease characterized by high levels of testosterone; it affects 1 in 3 women in their reproductive age. Non-obese diabetic mice were treated with dihydrotestosterone (DHT) to induce PCOS-like symptoms. Symptoms of PCOS include excess testosterone, polycystic ovaries, and/or increased weight gain. There was an increase in the body weight among the DHT treated mice over the course of the study. Hematoxylin and eosin staining of the four different types of adipose tissues demonstrated an increase in adipocyte cell size when treated with DHT. Additionally, there was a morphological change in the brown adipose tissue observed after DHT treatment. The brown adipose tissue in DHT treated mice resembled white adipose tissue, suggesting the cells may have differentiated. The purpose of this current study is to determine whether the DHT treatment causes alteration of gene expression in the brown adipose tissue, so that it expresses genes typically expressed in white adipose tissue. Research is currently underway to determine the differences in gene expression, using RNA isolated from the four different types of adipose tissues collected. The RNA is then converted to cDNA in order to quantitate the level of gene expression using real-time PCR. The expression of several genes including, Rbp-4, Fabp-4, Ucp-1, and Glut-1 was examined. This project may provide insight as to why women with PCOS have a higher chance of developing metabolic dysfunction. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,The Effects of Testosterone on Adipose and Uterine Tissue in a PCOS Mouse Model ,Sierra Wenz,Biological Sciences,"Polycystic Ovarian Syndrome (PCOS) affects women of reproducing age and is characterized by polycystic ovaries, obesity, and unusually high levels of testosterone. In this experiment the effects of dihydrotestosterone (DHT) on female C57Bl/6 mice were observed in retroperitoneal, inguinal, gonadal and brown adipose tissue as well as uterine tissue. For a twelve-week period each mouse was either untreated or treated with DHT through a pellet inserted under the skin. The weight of each mouse was measured weekly. After twelve weeks the mice were euthanized and adipose and uterine tissue samples were removed and embedded in paraffin wax. The tissues were then sectioned, and stained using a hemotoxylin and eosin staining protocol.  The weight of the DHT mice were significantly higher than the weight of the untreated mice, suggesting that excess DHT causes an increase in body weight for C57BL/6 mice. We hypothesize that DHT treated mice will have larger adipose cells and altered uterine tissue compared to the untreated mice. The difference in cell size for each tissue was examined and we observed that the brown and inguinal fat cells of the DHT mice to be qualitatively larger compared to the untreated cells. Preliminary results suggest there may be a difference in the number of uterine glands between the two treatment groups. This experiment aims to achieve a better understanding of the effects of DHT on the body mass and reproductive cycle of mice to gain a better understanding in relation to PCOS."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Observing the effects of novel flavonoid Malheuran-2 on MCF-7 cells using flow cytometric analysis,Dean Hoffer,Biological Sciences,"Apoptosis is the mechanism used to regulate the balance between cell proliferation and cell death.  Reduced levels of apoptosis, or increased levels of proliferation can lead to regions of uncontrollable growth, or cancer.  Flavonoids are being studied because of their anti-tumor qualities and low toxicity on surrounding healthy tissue. Of six flavonoids extracted from the Dalea searlsiae plant, flavonoids 1-4 showed inhibitory effects on the proliferation of MCF-7 cells.  After further studying the effects of flavonoid 2, apoptosis was confirmed using fluorescent microscopy and staining with Annexin V Alexa fluor 488 and propidium iodide.  Analysis using flow cytometry was impossible due to false binding of Annexin which was attributed to harsh cell harvesting techniques compromising the cell membrane and surface proteins."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Substrate temperature preference in Pygmy short-horned lizards (Phrynosoma douglasii),Elizabeth  Rathburn,Biological Sciences,"Lizards, as ectotherms, rely on external heat sources such as solar radiation, substrate temperature, and air temperature to regulate body temperature using common behaviors such as shuttling, basking, and burrowing into the substrate. Few studies have been done to observe thermoregulation in the pygmy short-horned lizard (Phrynosoma douglasii), which inhabits eastern Washington State. During this study, lizards were captured from the Quilomene Recreation Area near Vantage, Washington. To observe thermoregulatory responses we placed the lizards in an artificial enclosure (the ?ectothermatron?), which contains a sandy substrate, wooden shelters, as well as food and water. The ectothermatron contains heating elements and cooling coils to create a thermal gradient from approximately ~11-50 ¯C and timed lighting to simulate natural photoperiod. We measured body-surface and substrate temperatures with an infrared thermometer every hour between 0900h and 1300h from mid-April to mid-May 2014. We hypothesized that P. douglasii would (1) select relatively high temperatures, (2) , prefer lower temperatures at night, and (3) would show more burrowing behavior into substrate than use of shelters.  Phrynosoma douglasii actively thermoregulated maintaining, for example, an average body temperature of 35.8Ò0.8¯C at 1400h but only 22.5Ò1.4¯C at 2100h. Substrate usage also differed throughout the 24-hour period with lizards on the surface for 83% at 1400h but only 6.3% at 2100h. . We conclude that P. douglasii actively thermoregulates, preferring higher substrate temperatures during the day than at night and frequently burrows at night. Future studies could investigate whether photoperiod or temperature factors influence burrowing behavior in P. douglasii. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Investigation of Wilson Creek Coliform Bacteria Sources within Ellensburg City Limits,Kristel Hallsson,Biological Sciences,"The city of Ellensburg, Washington, is heavily invested in agriculture and livestock production. The concern for contamination of local streams and rivers represents an important local issue that sits at the crossroads of science, community health, politics and the rural lifestyle. Previous research projects have found that fecal coliform levels of Wilson Creek are three times higher in Ellensburg than they are in the water surrounding town, with in-town levels dangerously exceeding surface water quality standards as set forth in Washington state law. The focus of this research was to find the location and source of coliform bacteria making its way into Wilson Creek in Ellensburg. Sample sites were established along Wilson Creek from September to November 2014 where biweekly standardized water sample tests were performed. Total coliform counts from the various sample sites have narrowed the suspected input source to a two block stretch of Wilson Creek. A drop in the coliform level following the cessation of irrigation water flow suggest the source of contamination is the nearby canal. Continuing research has isolated several strains of coliform bacteria from the creek, tested them for antibacterial resistance, and attempted to identify the species of bacteria. This research is taking place in conjunction with city water management specialists and represents a joint effort between the City of Ellensburg and the biology department at CWU to protect public health by identifying and eliminating sources of dangerous bacteria in local surface waterways."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Comparative Effects of Supplemental Folic Acid on Normal vs. Breast Cancer Growth Rate, Viability, and Morphology",Sarah Tracy,Biological Sciences,"The FDA has mandated the fortification of the American food supply with folic acid to reduce neurological defects in unborn children. On the surface this seems like a good idea, but recent research indicates that folic acid may unintentionally accelerate existing breast and other cancerous growth in a subset of the human population, potentially affecting cancer patients, survivors, and postmenopausal women. Preliminary research conducted to assess a possible relationship between folic acid concentration and human breast cancer growth was inconclusive due to not including normal cells as a comparison group in the initial study. We hypothesized that folic acid may have differential effects on normal vs breast cancer cell growth rate, viability, and morphology. To emulate folic acid exposure nationally, including those individuals with pre-existing cancer, we conducted follow up experiments comparing folic acid effects on MCF-7 human breast cancer and CHO ovarian cell lines. Results showed a decrease in human breast cancer viability and growth rate as folic acid concentrations increased, while CHO cells viability and growth rate increased."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Evaluation of the Anthelmintic Activity of Plant Extracts on the Hookworm Ancylostoma ceylanicum  ,Brianda Cardenas-Garcia,Biological Sciences,"Hookworm is among the most common and important tropical diseases in the world. This parasitic nematode feeds on human blood upon reaching the small intestine. Previous studies have confirmed resistance to available drugs, rendering it necessary to develop new treatments. Although necessary, research and production of possible treatments has been neglected in the past because drug development for impoverished areas does not result in a sufficient amount of profit.  Earlier projects within Dr. Dondji?s lab have shown that plant natural products cause mortality of adult hookworm ex vivo. The plants Dalea ornata, Oemlaria cerasiformis, and Eucalyptus globulus have already shown efficacy; adult worms have demonstrated either significant decreases in motility or an increase in mortality. Now, the active components of the plants extracts that are effective must be identified. The goal of this project is to assess the anthelminthic effects of natural plant extracts for activity against Ancylostoma ceylanicum in the animal model host, the Syrian Hamster. If an effective fraction is discovered, identifying the active ingredients of the fraction and testing their anthelminthic effects can help develop new potential control tools to help reduce the health burden that results from soil-transmitted nematodes such as, Ancylostoma ceylanicum."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,USING CLAY MODELS TO TEST FOR AVIAN RECOGNITION OF APOSEMATIC WARNING COLORATION OF RING-NECK SNAKES (DIADOPHIS PUNCTATUS).,Hanna  Crow,Biological Sciences,"Aposematic coloration is a common theme among many animals, both vertebrate and invertebrate. The bright and contrasting colors warn possible predators of distasteful and even poisonous compounds. The recognition of such warning signals has been shown within mammals, fishes, and reptiles (both avian and non-avian). For our study, we examined the efficacy of such possible warning coloration in a small, cryptic species of snake, the Ring-neck Snake (Diadophis punctatus). Ring-neck Snakes are a trans-continental species that average less than 70 cm total length. Within the western United States they are strongly associated with oak-pine woodland, and along riparian zones in semi-arid habitats. When discovered by possible predators, Ring-neck Snakes are well known for revealing vibrant yellow or orange bellies, and for an upward curling of the bright red ventral surface of the tail. For our experiment we used 6 types of clay models. The first 3 were green with alternating patterns of dots (no dots, single, or double row). The other type of model was bright orange with this same pattern of dots.  Models (246) were placed in appropriate habitat where several species of birds may see them. After 4-6 days, models were gathered and scored for bite marks. Once scored, percentage of bit marks for each model type was found. The percentages for the green models with varying patterns of dots are as follows: no dot 34.6%, single row 27.1%, and double row 32.3%. The percentages for the orange models with varying patterns of dots are as follows: no dot 2.3%, single row 0.8%, and double row 3%. This data shows a greater percentage of bite marks in green models compared to orange models, pointing to the conclusion that there is avian recognition of aposematic warning coloration in D. Punctatus. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Light Curve of 383 Dodona,Dylan Ullery,Physics,"Photometric data was collected for several asteroids in order to obtain light curves. A variety of web-based astronomical research tools were utilized to identify candidate asteroids and their astronomical coordinates. Candidate asteroids were chosen to have relatively short rotational periods, and magnitude variations of 0.25 or greater.  Using the 30 cm telescope on the roof of Lind Hall at Central Washington University, photometric data was obtained for the asteroid 382 Dodona for approximately five rotational periods over the course of four clear nights. Using Maxim DL, the images were analyzed to produce light curves. The light curves were consistent with the available literature on Dodona."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Using entangled photons for single photon interference,Nathan Zimmerer,Physics,"Entangled photons, and single photon interference are prime examples of quantum mechanics and are useful in evaluating the theory. To find entangled photons, an apparatus was built, and optimized, that used heralded detection. The apparatus produced entangled photons using a pump laser producing 474 nm radiation, and a ·-Barium Borate(BBO) crystal. The entangled 948 nm photons were produced in two separate beams arbitrarily known as signal and idler photons. Each beam was detected by an avalanche photodiode (APD). When the signal photons reached the APD, electronic pulses were produced and sent through a delay line, while electronic pulses from the idler photon APD were not. Then the pulses from the APDs were used as a start and stop for a time-to-amplitude converter (TAC). A multichannel analyzer was used to evaluate the TAC spectrum, and showed a large amount of coincidences at time intervals consistent with that of the delayed signal pulses. These coincidences provide evidence that the apparatus was producing entangled photons. After the apparatus was optimized, a double slit was placed in the path of the signal photons, and used to search for heralded single photon interference. The results were inconclusive within measurement uncertainty."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Creating Entangled Photons by Spontaneous Parametric Down Conversion,Blake Savisky,Physics,"The purpose of this project is to set up a system for creating entangled photon pairs for use in various quantum mechanical experiments, including the testing of Bell?s inequalities which demonstrates the fundamentally indeterministic nature of quantum mechanics. The photons are created by pumping a beta barium borate crystal with 405nm laser light, then due to a process called type 1 spontaneous parametric down conversion a single pump photon can be converted into two 810nm photons in an entangled state. In the same lab a similar set up has already been achieved using a 474nm pump laser, but by using a shorter wave length a higher detection rate can be achieved. Two collimators are set up to collect the down converted photons and send them to two photon counting modules. The collimators need to be positioned precisely to detect any down converted photons because they emerge from the crystal in a narrow beam that is at an angle with respect to the pump beam and only a miniscule fraction of pump photons are down converted. The angle at which the down converted photons emerge is a function of how the crystal is prepared and the polarization orientation of the pump beam and was calculated using a program by NIST."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Growth Cone Mechanics,William North,Physics,"A nerve growth cone is a mechanical structure that responds to chemical signals in order to guide axon growth during nervous system development. We developed a computational model to explore the underlying mechanics of a nerve growth cone inside a fetus, and to specifically address the question of how the mechanical components of the growth cone work together to allow the cone to steer in response to external chemical signals. By developing a deeper understanding of the bio-physics of growth cones, we hope to contribute to a broader understanding of how the nervous system develops. Based on experimental observations of the movement and components of a growth cone, we wrote a computational program in Matlab using differential equations to explain the mechanics of how a growth cone moves and turns. We hypothesize that the growth cone operates through a mechanical ?clutch? mechanism in which a group of filaments called f-actin act as the engine-clutch system and a group of filaments called microtubules provide the steering. Theoretical predictions of our model could be tested by future experiments, in order to test the validity of our hypothesis. This project has helped further research on growth cone dynamics and functions and this has given me a deeper understanding of doing research with the use of computational analysis."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Tracking Molecular Motors along Microtubules,Daniel Griffin,Physics,"An axon is a long narrow fiber that extends away from a nerve cell body and makes contact with other cells. In addition to serving as the ?wire? for transmission of electrical signals from the nerve, the axon also provides a pathway for transport of molecular-scale cargo (such as mitochondria, lipids, proteins, and other organelles) to and from the nerve cell. Molecules called molecular motors carry cargo along a dense bundle of long parallel filaments inside the axon. We are interested in understanding the physical mechanism molecular motors use to transport cargo over long distances in the axon, and the role this plays in nervous system development. Our collaborators Prof. Peter Baas and Anand Rao at Drexel University used FRAP (Fluorescence recovery after photobleaching) microscopy to produce time-lapse movies of the movement of short microtubules along an axon. My research is to analyze the movement of the microtubules in an attempt to understand how the molecular motors transport them. Using the program ImageJ with the plug-in TrackMate, I can take the experimental images and analyze the microtubule?s movements over a time period. The plug-in TrackMate works by using detectors, filters and other parameters to identify bright spots in the image corresponding to an object, and tracking these bright spots from one frame to the next. This research may someday lead to innovations in Alzheimer?s disease and cancer because with knowing how the motors are supposed to move, one can locate those that move irregularly."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Measured laser frequencies from the optically pumped methanol isotopologue <sup>13</sup>CD<sub>3</sub>OD,Benjamin Freeman,Physics,"The far-infrared region of the electromagnetic spectrum, informally defined as the wavelength region between 0.025 mm and 2.00 mm, is an area that has been investigated using laser radiation for over 50 years. Research with far infrared lasers has a range of applications including terahertz imaging, a form of noninvasive imaging. Creating a catalog of far-infrared laser emissions is also beneficial for their use in high-resolution spectroscopic investigations of stable molecules and short-lived free radicals. The purpose of this research was to measure the frequencies of known far-infrared laser emissions generated by <sup>13</sup>CD<sub>3</sub>OD, an isotopic form of methanol. This was achieved using an optically pumped molecular laser and two carbon dioxide reference lasers. In this work, the frequencies for 16 far-infrared laser emissions have been measured with a one-sigma uncertainty of approximately 0.7 MHz. This poster will cover the experimental procedure used for this research along with the data that was recorded."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Investigating the Correlation between Inclination of Coronal Loops and Solar Flare Activity,John-Paul Mann,Physics,"The purpose of this research is to investigate changes in the coronal loop structures during the life cycle of a solar flare.  Coronal loops are intricate and complicated magnetic features on the solar surface that are the source of large solar flares.  Understanding the dynamics of these coronal loops provides better models for predicting solar flare activity. By obtaining the magnetogram, or magnetic field strength, along with the inclination of these coronal loops the full structure of the coronal loop can be obtained.  Therefore, we studied how the coronal loops inclination angle, as it emerges from the photosphere, changes in response to variations to the magnetic field strength. Research data was used from the Helioseismic and Magnetic Imager (HMI) instrument aboard the Solar Dynamic Observatory (SDO).  Helioviewer, an online application, was used as a visual database for active region selection. Numerical data was then collected for each active region through the Joint Science Operations Center (JSOC) online by Stanford.  Python coding language was implemented in order to manipulate these large data sets and images for multiple different solar active regions.  A baseline for the relationship between magnetogram strength and inclination angle of a coronal loop was obtained by investigation of multiple active regions where no solar flares were present. Then two active regions with multiple large X-class solar flares were investigated for magnetogram strength vs. inclination angle over time.  These differences in inclination for the solar flare active regions vs. the baseline active region are still being investigated."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Origin of a Cosmic Ring in NGC 7538,Jason Arakawa,Physics,"NGC 7538 is a high mass star forming region about 8800 light years away. In this region, stars are being born, beginning from a large collapsing dust cloud. After the formation of the star, the burning of hydrogen in the core through nuclear fusion produces photons that outflow and exert pressure, called radiation pressure, on the gas and dust surrounding the star, forming a bubble of empty space. The research will investigated an elliptical gas ring in NGC 7538, similar to these bubbles, though whose source is unknown as it doesn?t have a star in the center. This research investigated if a runaway star could have formed in or passed through the center of the ring region previously, initialized the expansion of the ring, then moved out of the region. A program was written to plot stars around the ring in three dimensions, and from the stars plotted so far, there have not been any stars that intersected the ring in the past. We will continue to consider more stars from more databases to determine if a runaway star did intersect the ring in the past. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Predicting Solar Sigmoid Lifetimes based on Shearing in the Photosphere,Austen Stone,Physics,"This project?s purpose was to study how the speed at which the plasma in the photosphere of the Sun affects the lifetime and shape of a solar sigmoid. Solar sigmoids are S-shaped, twisted magnetic structures that are due to the shifting magnetic field lines emerging from the surface of the sun. The photosphere is the visible layer of the Sun?s surface and is made up of cells of plasma that are highly conductive and influenced by the magnetic field of the Sun. Sigmoids form when shearing (a lateral shift between two objects in directions opposite each other) occurs in the photosphere plasma, causing ropes of magnetic flux to break and reconnect in S shapes. I predicted that when higher velocity shearing occurs in this plasma, solar sigmoid structures will be stretched out and as a result be less stable, extending just above the surface of the Sun, and at a lower shearing velocity a sigmoid will stay stable longer and be able to extend much further above the surface of the sun. The shear velocity of the photosphere at the base of the sigmoid was measured using the physics based Tracker software, which takes user uploaded videos and helps measure changes in position of an object within the video. This project was carried out using the Helioseismic and Magnetic Imager (HMI) and atmospheric Imaging Assembly onboard the Solar Dynamics Observatory (SDO) to retrieve magnetogram time lapse data and both partial and full solar view time-lapse data. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Spherical Shell Resonance and Applications as a Model for the Human Skull,Adam Tangocci,Physics,"Previous research performed by students and faculty at CWU has shown that changing pressure inside a spherical aluminum shell can shift the resonance frequencies of the shell. This property may be applied to the human skull and allow for a non-invasive method of measuring of intracranial pressure. To more closely resemble the environmental conditions of the human skull, a new mount was used with a smaller point of contact at the base of the sphere and the change in pressure compared to previous experiments was decreased by at least an order of magnitude (from over 40 psi to less than 1 psi). Expected frequency shifts due to the smaller pressure changes are less than .0001%, therefore extensive testing was done to quantify and identify sources of experimental uncertainty. Results indicate that the current experimental design cannot produce reliable measurements of such small frequency shifts. Specific sources of uncertainty and possible improvements to the experimental design will be discussed."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Experimental Investigation of Nonlinear Wave Behavior in a Tensegrity Mast,Joy Westland,Physics,"Tensegrity structures are made up of load-bearing elements (rods) and tension-bearing elements (cables) held together in static equilibrium via a balanced distribution of compression and tension. First conceived in the mid-20th century, tensegrity structures have been analyzed and studied by mathematicians, civil and aeronautic engineers, and biophysicists, among others, generally with the goal of understanding static behavior. The focus of this study is the dynamic properties of a tensegrity structure when acting as medium for longitudinal and torsional vibrational waves. The first phase consists of the construction of the tensegrity tower while the second phase is to measure and characterize the wave pulses that propagate through the tower. This presentation will focus on the process of constructing a tensegrity tower through various methods. The approach to building the tower involves creating sections of the tower and then uniting them. Using aluminum rods connected by strings, the tower is formed with overlapping structural units (layers) of three rods each. The primary challenge has been to control the amount of tension within the strings of the tower in order to create the balanced ratio between the rods and strings. Other challenges involve working with small scale hardware to tighten or loosen the structure to maintain equilibrium. Future experiments on the completed tower will investigate nonlinear wave behavior when compressional and torsional wave pulses are propagating through the structure. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,"Tchaikovsky's Piano Concerto No. 1, Mvt. 1",Leah Espinoza,Music,"Leah Espinoza will present information about a piano concerto that she recently learned and performed. The interactive exhibit will show the complete score of music for the first movement of Tchaikovsky's Piano Concerto No. 1, with details about the sections of music, and the type of playing techniques that the piece employs. Visitors will be able to listen to any section of their choosing (through numbers in the laid-out music) and ask questions about what a concerto is and how it was learned. The hope of the creative expression presentation is for visitors to learn more about and appreciate the incredible skill and effort that goes in to re-creating and performing a famous music composition in our modern day. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,The Effects of Acoustics on Music Performances and Recordings,Katie Shelton,Music,"As a musician and flutist, I have had many opportunities to perform, attend live performances, and listen to recordings of performances. I have found that I have been both pleased and displeased with both live and recorded performances in terms of overall sound quality of the music and how clearly musical details including articulations, dynamics, and clarity are perceived. Architectural acoustic studies date back to ancient Greece when the philosopher Vitruvius designed the outdoor amphitheater that would send sound upward to the audience members. Some of the first music written for organ sounds best when performed in cathedrals with reverberant stone walls and high ceilings. Today, concert halls built for orchestras are designed to have ?wet? acoustics, meaning that the building allows for sound to reverberate. Desirable venues for jazz bands have dry acoustics, with little to no sound reverberation, allowing for amplification and electronic enhancement of the sound. Ultimately, one of the most important skills for a musician to develop is the ability to effectively communicate with their audiences. I would like to discover the ideal venues for me as a ?classical? performer as I play and record my flute. I will learn a piece for unaccompanied flute that I can play and record in a variety of venues. This will allow me to evaluate how different musical characteristics sound during performance and on a recording in each of the venues. I will chose venues with a wide variety of sizes, shapes, and materials. I will document the presence and absence of people, objects, and extraneous noise in the room, and will document my evaluations on the clarity of my live performances and recordings of the piece. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,The Making of a Soldier,Jackson Berry,Theatre,"Using their original film, audio, writings, and photography the work is a composite documentary of two specific soldiers experiences one in WWII and the other in Vietnam as they corresponded back and forth using audio cassette tapes to relay their thoughts toward life, war, and what the future held."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,The Subtleties of Soda,Amanda Bury,Art,"Soda firing is an atmospheric ceramic firing process during which soda (usually consisting of sodium bi-carbonate, also known as soda ash) is introduced into the kiln near peak temperature. Soda ash is most commonly mixed with hot water and sprayed directly into the kiln. Once subjected to the heat of the kiln, it vaporizes and bonds with the surfaces of the pots to form a sodium-silicate glaze. The award of the C. Farrell Scholarship in Spring 2014 and Fall 2014 provided the funds necessary to build a new wood-burning soda kiln and the opportunity for exploration and research of this firing method. The newly constructed kiln, located within the ceramics facilities on the Central Washington University Ellensburg campus, was built during Spring of 2014. During the Fall of 2014 investigation of this this new type of firing technique and how utilitarian vessels lend their form to this process was conducted. The culmination of the award period ended in an exhibition featuring my utilitarian work that is representational of the soda-fired aesthetic. This construction and research provided me with beneficial exploration in areas of kiln construction and the utilization of the aesthetics of soda firing, creating a foundation of knowledge about applying those surface aesthetics to current and future artwork."
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,Revitalizing CWU's Largest Art Collection: New Photographics,Skyler Crady,Art,"New Photographics was a nationally known photography exhibition held at Central Washington University. Organized by the late CWU emeritus Jim Sahlstrand, the show ran from the early 70?s to the late 80?s. During its time, New Photographics was an anticipated event for photographers across the nation and for the CWU Art Department, where it was hosted in the Sarah Spurgeon Gallery. In the late 80?s the exhibition fizzled out and has ceased to reemerge. Since then, an enormous amount of documents and artwork has been stored in a small room in Randall hall and has rarely been touched since. During this quarter I am taking an Independent Study with current CWU photography professor, Allyson Klutenkamper to learn more about the New Photographics show and collection. With the help of Professor Klutenkamper, the Art Selection Committee and CWU alumni, I will be researching, documenting, and re-archiving the compilation so that CWU?s largest art collection can be reintroduced into the art community and hopefully become an active part of it. "
Mar. 13th 11:30-2:00 p.m.,Ballroom B/C/D,The Vicissitudes of My Life Through Still Life Art,Alexandra Lupton,Art,"This presentation exhibits a collection of still life scenes in graphite and charcoal that represent my life. The goal of the project was to capture the everyday scenes or objects that both symbolize and reflect my personal journey growing up as a young adult. Through these still lifes, I present to the viewer my reality of tone, form, composition, proportions, and shapes. Graphite and charcoal are used to allow for the depiction of striking shades and intricate details. The vicissitudes of life are dynamic yet relative to my space and time. I am utilizing skills that I recently learned in CWU?s Drawing 1 art class. "
