Time,Room #,Presentation Title,Presenter Name,Session #,Mentor,Mentor Department,Abstract
Feb. 24 12:00-12:20 p.m.,Room 135,The Illustrated Alphabet of Roman History,Pamela Stephenson,13,Michael Johnson,World Languages,"The idea to create a Latin picture book of Roman history grew out of our passion for history and our study of Augustan Latin with Dr. Johnson and our Latin study group.  The result is the book The Illustrated Alphabet of Roman History/Abecedarium Illustratus Historiae Romanorum, which provides a brief introduction to the history of Rome’s government, religion, military, and daily life.  We will be presenting a reading of the book in Latin with an English translation and accompanied by illustrations from the book."
Feb. 24 12:20-12:40 p.m.,Room 135,The Year of the Tortoise: Original Screenplay,Caleb Allison,13,Melissa Johnson,Film and Video Studies,"""The Year of the Tortoise"" is my most recent feature-length script, a coming-of-age comedy-drama following an angst-ridden high school student as he embarks on a turbulent quest of self-discovery in pursuit of long-sought recognition from his peers and the heart of the one girl who, he believes, makes his life worth living. This story is the amalgamation of a decade of my own personal experiences and relationships, unified by themes of personal identity, living in the moment, and finding peace in a culture obsessed with self-promotion and personal fulfillment. I will present my work as a film pitch, exploring themes, tone, settings, characters, conflict, and narrative structure, including my inspiration for the piece and culminating with a performance of one scene in the script. Prof. Melissa Johnson served as my mentor on this project, as she did for my presentation at SOURCE last year. I am indebted to her for her guidance and support, without which I would not be presenting such a complete and ""realized"" piece of my own artistic and philosophical vision this year."
Feb. 24 12:40-1:00 p.m.,Room 135,It Would Make Me Happy,Ryan Cole,13,Melissa Johnson,Film and Video Studies,"This is a short form script written for my Film and Video Studies class, where we studied not only the history of film, but the technical and cultural aspects that make filmmaking such a unique medium for storytelling. This story is about death and mortality and how we as humans cope with it. When faced with imminent death, does one cross off every item on a bucket list, or take control to remove any suspense and pain that comes with waiting? Though some would ""live like they were dying,"" some people treat death seriously and judiciously, as the next step of life for them. This short film is meant to explore the meaning of death and how it affects not only the person dying, but the people around them. This script will be performed in full by myself and three other readers. "
Feb. 24 11:40-12:00 p.m.,Room 137A,The Effects of Stigma on the Mentally Ill Students' Educational success,Melissa Weiner,14,Michael Mulcahy,Sociology,"Previous research shows that people with a mental illness (MI) diagnosis face social stigma. The social stigma of mental illness figures in analyses of the effects of MI on social networks, and a range of other outcomes, including recovery. I address this issue in the context of the postsecondary educational trajectories of students with MI. For students with MI, academic success is an important correlate of recovery. Yet we lack studies that focus explicitly on the association between the stigma of MI, social networks, and academic outcomes. When students with MI interact with professors, fellow students, and staff, such as disability services staff, the social networks formed by those interactions may reflect the stigmatized nature of their condition. My research looks at (1) the effects of MI on academic and social networks and support, and (2) the effects of these students’ social and academic networks and support on educational persistence and attainment. My research question is thus, are the negative effects of stigmatized MI on educational outcomes mediated by social and academic networks? I apply these ideas to an analysis of the Beginning Postsecondary Students (2004) dataset, a publicly available, anonymized panel dataset from interviews with beginning college students in 2003/04, again in 2005/6, and again in 2008/9. The dataset includes measures of my key independent variables – MI and academic and social integration, as well as a range of academic outcomes, from which I draw the dependent variables of my analyses."
Feb. 24 12:00-12:20 p.m.,Room 137A,A Panel Study of the Effects of World Labor Regime Integration on World Environmental Regime Integration in the 20th Century,Grant Clifton,14,Michael Mulcahy,Sociology,"The concept of the regime is often used at the international level to describe sets of rules and norms that are expected to be followed by actors (nations, corporations, etc.). Two supported world regimes, the world labor regime and world environmental regime, center around policies concerning global labor conditions and global environmental degradation, respectively. Much research examines the formation of these regimes and the effects of regime integration at the national level; however, it is not yet known whether integration in the world labor regime at the national level influences integration in the world environmental regime. Understanding patterns of integration within these regimes can be significant in understanding how countries, particularly developing countries, prioritize both labor and environmental issues. Our main research question is: “Does integration in the world labor regime predict integration in the world environmental regime?” We measure countries’ world labor regime integration (WLRI) using ratifications of international labor conventions and environmental regime integration (WERI) using ratifications of international environmental treaties. Our dataset covers the period between 1919 and 2012. We use regression methods that correct for temporal and spatial dependence in the data. Our regression analyses measure the effects of WLRI on WERI, net of controls for country-level economic and social development, and global trade. Our pending results will demonstrate whether there are any linkages between the two regimes, and whether both regimes are simultaneously sustainable by integrated members."
Feb. 24 12:20-12:40 p.m.,Room 137A,Racism and Sport: Occupational Segregation in International Mens and Womens Soccer,Camille Colgan,14,Nelson Pichardo,Sociology,"The studies of racism in sport have largely focused on men’s sport  (baseball, football, hockey, etc.). These studies reveal that the allocation of positions on the field of play has been governed by the underlying social construction of race. Known as the “stacking hypothesis”, it argues that those positions that are more believed to require intelligence and smarts (higher centrality) are “awarded” to Caucasians while those that require speed and quick reactions are awarded to non-Caucasians. I expand on this by applying the stacking hypothesis to a previously neglected sport- soccer- and to previously neglected population- women. The underlying research question is whether stacking is prevalent in national soccer teams and whether it is also a characteristic of women’s soccer. I will gather data at 4-year intervals (World Cup years) from 1960 through 2012 for the rosters of national men and women’s soccer teams, the race of the players as well as their positions and their win-loss records. After coding the positions in terms of centrality, I will test the proposition of whether occupational segregation by race has taken place in men and women’s international soccer teams. "
Feb. 24 12:40-1:00 p.m.,Room 137A,Student Athlete GPA & Team Success,Scott Puntenney,14,Nelson Pichardo,Sociology,A popular idea in society is that success of a collegiate sport team is based on the recruitment of players that have marginal academic qualifications. I would like to examine this proposition by investigating whether the grade point averages of the student-athletes is correlated with the performance (win-loss record) of the team. Collecting data from schools participating in the Pacific 12 (PAC-12) and the Greater Northwest Athletic Conference (GNAC) football programs will also allow for a comparison across types of football programs (Div. I vs. Div. II).  Data collected will be in the form of unidentifiable and anonymous GPA’s of the 110 man rosters of the twelve teams in the Pac-12 and the seven teams in the GNAC.  Once collected the data will be analyzed to determine if those teams with higher average GPA’s are more likely to have higher or lower win percentages as an overall team. 
Feb. 24 11:40-12:00 p.m.,Room 137B,Web-tool Design for the Sciences,Branndon Edwards,15,Filip Jagodzinski,Computer Science,"When performing research in any given field often times the use of custom-built software is employed in order to facilitate a more expedient research process. Users of these programs are most often not computer specialists themselves and experience difficulty utilizing the software. We are developing a front-end platform that is capable of interfacing with back-end programs hosted on a server. The infrastructure integrates web development technologies (HTML, CSS, PHP), shell scripts utilizing gnuplot, and a locally hosted server. The HTML web-page invokes the scientific software, which has been reviewed and debugged for efficiency and run-time errors, before utilizing a shell script to generate statistical plots of functions. This script parses the hosted scientific software’s output and formats the data for gnuplot to extrapolate. The statistical and graphical plots are posted to the website’s front-end graphical user interface for the end user to analyze. This platform is currently being tested by implementing software that is in development by Elizabeth Brooks for biology (co)variance research at Central Washington University. 

"
Feb. 24 12:00-12:20 p.m.,Room 137B,Object-Oriented Implementation of a Novel Mathematical Framework to Determine the Effects of Developmental Interactions on Evolutionary Responses,Elizabeth Brooks,15,Filip Jagodzinski,Computer Science,"Quantitative genetics is the study of complex biological traits, or traits controlled by more than one gene. Traditional quantitative genetic models use the (co)variances of traits to predict evolution in response to selection. However, traits often result from nonlinear interactions between developmental factors. Because of this, traditional models may not accurately predict evolutionary dynamics. With an updated mathematical framework, we have developed a program that will determine the extent to which the developmental architecture of traits affects the evolutionary response of a given species. To date, we have developed an object-oriented program in Java as well as C++ that is highly adaptable, easily permitting future extensions to the code base. The program’s infrastructure allows for increasingly complex levels of developmental interaction through the incorporation of a class hierarchy that refines and increases the flexibility of the code. This programming structure will readily interface with a web-based tool that accepts user supplied functions for particular biological systems that can then be seamlessly integrated into the source code. The completed program will allow users to test hypotheses about how the developmental interactions among multiple traits affect their (co)variances and subsequent evolutionary trajectories."
Feb. 24 12:20-12:40 p.m.,Room 137B,Investigating Rigidity Properties and Atomic Content of Proteins,Christian Walling,15,Filip Jagodzinski,Computer Science,"Proteins are three dimensional molecules that bend and flex to perform a multitude of functions, ranging from cellular repair, to mediating the immune response, to aiding in neuronal signal propagation. Drugs are designed to regulate protein functions and their interactions, which they do by closely associating with cavities or other structurally important features on a protein’s surface. Because the properties of protein cavities have not been analyzed in a dataset large enough, it is unclear how, or to what extent, the geometric properties and atomic content of a cavity play in facilitating a protein’s interaction with other molecules. Analyzing the rigidity properties and atomic content of protein cavities from a large database would allow development towards a deeper understanding of how proteins interact with other molecules. Preliminary results from a dataset of about 20,000 cavities have already indicated a dominant region for cavity size and the number of rigid clusters within. For our work, we are trying to determine if the molecular content of rigid bodies within cavities can be used to distinguish them from other proteins by using metrics gathered on the size of cavity, the number of atoms in the cavity, and the types of those atoms. To accomplish this, we have created a series of custom BASH scripts to calculate metrics based on information gathered from calculated cavity data and the biological data of the protein. "
Feb. 24 12:40-1:00 p.m.,Room 137B,Image Classification with Approximately Biologically Realistic Elements,Sami Abdul-Wahid,15,Razvan Andonie,Computer Science,"Image classification is a well studied problem, with applications such as face recognition and natural image classification. Here image classification is done using a neural network of spiking neurons in a feedforward heirarchy that resembles certain structures of the visual cortex. Image encoding is done first through edge detection on the image, after which an HMAX model is used to bring about degrees of scale, position, rotation, and contrast-reverse invariance. Then, a single spiking neural network layer is trained to classify the encoded image using supervised learning. Results are shown for classification of single digit handwritten numbers."
Feb. 24 11:40-12:00 p.m.,Room 140,Far-Infrared Laser Emissions of Optically Pumped Methanol Isotopologues,Michael Smith,16,Michael Jackson,Physics,"Historically, a rigorous study of the far-infrared portion of the electromagnetic spectrum has been difficult due to a lack of sensitive detectors and powerful sources in this region. However, technological advances in the past several decades, such as the optically pumped molecular laser, have provided invaluable tools which allow us to better explore the far-infrared region (informally defined for wavelengths between 0.025 mm and 2 mm). Studies of the far-infrared region using the optically pumped molecular laser could prove invaluable for many areas of science. For instance, these lasers can be used in high resolution spectroscopic investigations whereby researchers study the fundamental interaction between light and matter. At Central Washington University this past summer, an optically pumped molecular laser system was used to generate laser radiation in the far-infrared region. Using heterodyne, or frequency mixing techniques, the frequencies of over 80 far-infrared laser emissions have been measured using methanol isotopologues as a lasing medium. This presentation will focus on providing an overview of the experimental system along with the methodology used for measuring far-infrared laser frequencies.  Several examples of frequencies measured for the CD<sub>3<\sub>OH, CH<sub>3<\sub>OD, and CHD<sub>2<\sub>OH methanol isotopologues will also be provided."
Feb. 24 12:00-12:20 p.m.,Room 140,Measuring Far-Infrared Laser Frequencies from Optically Pumped CH<sub>3<\sub><sup>18<\sup>OH,Clarissa Gerke,16,Michael Jackson,Physics,"Far-infrared radiation (defined as having wavelengths from approximately 0.025 mm to 2 mm) has applications in many disciplines including astronomy and spectroscopy. These advances and subsequent applications have become possible through the research performed with far-infrared lasers that includes the discovery and classification of viable far-infrared emissions from various lasing media. Over the last few years, undergraduate students at Central Washington University have used a recently constructed optically pumped molecular laser system to generate over 600 far-infrared laser emissions, about half of which have been measured solely by wavelength. Last year, this optically pumped molecular laser system was incorporated into a heterodyne, or frequency mixing, system consisting of two additional carbon dioxide (CO<sub>2<\sub>) reference lasers and their respective stabilization systems.  With this heterodyne system, the laser emissions generated by a number of different laser media have been further characterized by measuring their frequency. This presentation will focus on the process of using the heterodyne system to search for and measure far-infrared laser frequencies, as well as how these frequencies are used in the spectroscopic assignment of far-infrared laser emissions as applied to the CH<sub>3<\sub><sup>18<\sup>OH methanol isotopologue."
Feb. 24 12:20-12:40 p.m.,Room 140,Constraining The Uplift History Of The Transantarctic Mountains With Apatite Fission Tracks,Teo Fisher,16,Audrey Huerta,Geological Sciences,"The Transantarctic Mountains (TAM) span approximately 3,000 km and stand 3-4 km high but their origin is not well understood. There are several competing theories regarding the origin of the TAM. One theory, rift flank uplift, involves one side of a fault rising and being eroded. Another theory, plateau collapse, involves the rifting (pulling apart) and collapse of a plateau with a remnant margin forming the TAM. The exhumation (uplift and erosion) history of the TAM is recorded in the mineral apatite. Apatite fission track (AFT) data allows us to see the duration and rate of exhumation starting at a depth of about 4 km below the surface. Decades of work in the TAM by researchers has produced an abundance of AFT data. In this study, AFT data in the TAM were compiled and plotted in ArcGIS along with geological maps and digital elevation models for analysis. The AFT data was analyzed in fault blocks segmented by major faults perpendicular to the coast. AFT data of the TAM were plotted with elevation and distance from the coastline of the Ross Sea and Ross Ice Shelf to evaluate the overall trend of each fault block in relation to the coastline. Preliminary results show more exhumation near the coastline which decreases inland and with elevation and appear to accommodate the plateau collapse model."
Feb. 24 12:40-1:00 p.m.,Room 140,"The Role of Magma Mixing in the 1968-2010 Eruption of Arenal Volcano, Costa Rica: Insights from Modelling of the Magma Chamber",Jenna Adams,16,Wendy Bohrson,Geological Sciences,"Magmatic processes, such as magma mixing (mixing of 2 or more magmas), control compositional diversity of magmas (less to more silica-rich), eruption style (gentle to explosive) and can potentially catalyze eruptions, making documentation of mixing events at active volcanoes important for improving eruption prediction. Thousands of cases of magma mixing have been documented, but a new computational approach documents for the first time the relative size, frequency, and location beneath the volcano of mixing events. The 1968-2010 eruption of Arenal Volcano, Costa Rica produced lava flows that are homogenous at the whole-rock (kg) scale but highly heterogeneous at the crystal (mg) scale. The hypothesis of Streck et al. (2005) that four distinct magmatic components mixed in a shallow subvolcanic magma reservoir to produce Arenal’s lavas was analyzed by the Magma Chamber Simulator, a new thermodynamic computer model (Bohrson et al., 2014). Based on several hundred simulations, model results constrain pre-mixing pressure, oxygen fugacity, temperature, and H2O contents of the four crystallization environments. Three reside 3-6 km below the surface and magmas are relatively oxidized (QFM to QFM+1) with moderate water concentrations (2-3.5 wt.%). The fourth is ~23 km below the surface with crystallization requiring oxidizing conditions (QFM+1) and H2O contents of 3-4 wt.%. Mixing simulations that best reproduce observed temperatures and lava and crystal compositions require high frequency, small volume intrusions that mix into a shallow subvolcanic magma chamber. Quantification of the size and frequency of mixing events should improve our understanding of eruption precursors, thereby improving volcanic hazard prediction. "
Feb. 24 12:40-1:00 p.m.,Room 201,A Statistical Analysis of Sunflower Growth,Ashley Gowdey,17,Dominic Klyve,Mathematics,"This study considers whether the date at which a maternal sunflower begins to flower has a significant impact on the sunflowers grown from its seeds.  The data was collected by Dr. Jenny Dechaine of the Department of Biology. She ran an experiment which began with one population of sunflowers. From there, seeds were taken from those flowers in order in which they flowered. Seeds taken from the sunflowers that flowered first became seed group A. Seeds from the next flowering group became seed group B, and so on until seed group H. The purpose of the experiment was to test if there was any relationship between when a seed's maternal plant flowered and a variety of measurements. Data on over 100 sunflowers were collected, recording such information as the number of leaves a plant had, the lengths of the leaves, and whether or not there was a presence of downy mildew. I preformed the analysis of the dataset to find any significant differences in the groups of sunflowers. I provide descriptive statistics of each variable, as well as some combinations of seed groups, to better test if there was a significant difference between seeds with maternal plants that flowered early and those with maternal plants that flowered later."
Feb. 24 11:40-12:00 p.m.,Room 201,Statistical Analysis of Tibetan Macaques (Macaca thibetana) Maternal Offspring Investment,Carter Wallace,17,Dominic Klyve,Mathematics,"As with most species, maternal investment in offspring is vital to Tibetan macaques (Macaca thibetana). Females typically first begin breeding around five years of age, give birth to a single offspring with each pregnancy, and have a gestational period of six months. Data was collected on macaque females to compare the amount of effort mothers invest in their offspring over the course of their life. Measurements of investment were taken based on the amount of time the mother spent grooming, carrying, and proximate to her offspring. Focal animal samples were taken, lasting five to ten minutes each day, with the mothers being sampled in random sequence. Statistical analysis was run to examine and compare differences between measurements over the macaque lifetime."
Feb. 24 12:20-12:40 p.m.,Room 201,Stock Analysis of Hasbro,Alex  Wold,17,Thomas Tenerelli,Finance & Supply Chain Management,"The purpose of the current study was to quantitative analyze the toy making company Hasbro's prospects to come up with an investment rating. Utilizing only publically available information such as news reports, known competitors actions and income statements to create a basis of understanding for the company. The next step is to go deeper and use the obtained information to approximate Hasbro's market share in each of its subsidiaries and estimate any possible growth potential.  This leads to a rough valuation of the company in terms of dollars. The final piece of our analysis will be an examination of some other reports. Have professional analysts changed their recommendation recently? Has management been buying a bigger stake in the company? Either of these could mean the stock price is expected to change soon. A quantitative analysis of the company earnings moving forward will allow us to calculate an estimated future price per share of the company.  Resulting ultimately in a researched recommendation to buy, sell, or hold the stock based on our in depth research."
Feb. 24 12:00-12:20 p.m.,Room 201,Constant Vector Curvature in Three Dimensions,Albany Thompson,17,James Bisgard,Mathematics,"Differential geometry is the use of the techniques and tools of calculus to study the geometric properties of manifolds. One of the most commonly studied properties of manifolds is their curvature. We can measure the curvature of a manifold at a point by using a metric called an algebraic curvature tensor and a geometric object known as a model space. A model space is formed when a manifold, inner product, and algebraic curvature tensor are grouped together. There are several curvature conditions that a model space can satisfy. This research is concerned with the necessary and sufficient conditions for a model space in three dimensions with positive definite inner product to have the specific curvature condition of constant vector curvature. This presentation summarizes the background for this research along with its findings."
Feb. 24 11:40-1:00 p.m.,Room 271,Beyond the Eyes of the Dominant:  Reciprocity and Peace-building on the Street,Saeed Mohamed,18,Mark Auslander,Anthropology & Museum Studies,"Low-income African immigrant young men in U.S. metropolitan areas are subjected to police surveillance as well as stereotypical media representations, which emphasize violence, drug abuse, and criminality. In my fieldwork with youth in a major Pacific Northwest city, I studied the ways in which this dominant gaze is both internalized and redirected. This paper concentrates on one nighttime ethnographic incident, in which a potential gunfight between two groups of young men was narrowly averted through replacing one form of negative exchange with a positive exchange action. In this social drama, an escalation of insults led to the ominous brandishing of weapons. At a critical moment, one of the principal’s attention was reoriented through the gift of marijuana, reminding him of bonds of fictive kinship with his companions and pacifying the situation. When can such gift economies co-exist with, or overcome, hegemonic structures of power and violence? "
Feb. 24 11:40-1:00 p.m.,Room 271,The Body as a Battlefield of Resistance:  Cracking the Skulls of the System in a Polynesian Performance.,Patrick Molohon,18,Lene Pedersen,Anthropology & Museum Studies,"Through the analysis of a Marquesan haka performance in a touristic setting in Tahiti, this paper explores the notion of the Polynesian body as a site of struggle between the gaze and premonitions of cosmopolitan French tourists of the exotic other, and the resistance and self-interiorizing of the body by Marquesans. Many contemporary Marquesans choose to migrate to the more urbanized, popular tourist destination of Tahiti, for work, schooling, and medical procedures. Removed from their native land, Marquesans still build upon traditional cultural practices and worldviews, while simultaneously actively creating innovative aspects of their experience in the new setting. My analysis is based on stories of how tourist performances create and affirm Marquesan culture, gathered through ethnographic research, participant observation and interviews in August, 2014, Pape’ete, Tahiti. How does the body, prone to commoditizing processes within the tourist system, also emerge as a site of moral economy, community empowerment, and generalized reciprocity? "
Feb. 24 11:40-1:00 p.m.,Room 271,Bonds of Blood: Vampire the Masquerade as Urban Heterotopia,Nicolas Crosby,18,Hope Amason,Anthropology & Museum Studies,"This presentation explores the Live Action Role Playing game ""Vampire the Masquerade"" (VtM) through Foucault's concept of the heterotopia, with special attention to the complex symbolic politics of blood and the family in modern American culture.  Although, at times dismissed as a frivolous “game,” VtM is taken seriously by its participants.  Masqueraders have transitioned, within a microcosm, from hegemonic American notions of family into a completely different sort of family unit, which emerges from in-game dynamics.  Due to a desire to be a part of something larger in scope, with stronger bonds, they have joined a system which allows them to have two families.  While they may maintain their nuclear, “real” family ties, they have also joined themselves to another “family,” which I show to take shape in the form of a lineage with a long, documented, and noble history.  These double lives tend to express themselves most frequently within urban environments, where societal bonds tend to weaken or disappear— as opposed to smaller towns, and villages where bonds tend to last longer, and be more defined.  In order to create new bonds and status hierarchies within the metropolis, the game is conducted in the “real world” and in a mythic cityscape.  While the players may project their own society onto the cityscape, the city’s physical geography is always present underneath, in multilayered inversions.  Thus, the heterotopia of the Masquerade is simultaneously produced and transmuted each night."
Feb. 24 11:40-1:00 p.m.,Room 271,Managing Risk on the Street: Forging Alliances and Building Trust.,Hillary Matson,18,Mark Auslander,Anthropology & Museum Studies,"At night in San Diego’s historic Gaslamp district, street performers, or buskers can be found trying to capture the attention of passersby as they make their way to the nearest restaurant or nightclub. These buskers work for tips on crowded sidewalks adjacent to corporate entertainment venues. This ethnographic study explores how buskers in the Gaslamp forge alliances with those they share the streets with, including night club promoters, bouncers, passersby and cab drivers. These alliances are both actively sought out and inactively acquired. Through participant observation, direct observation, and interviews, I explored how gifting and creating networks of trust can help buskers manage risk and earn respect. How do buskers benefit from alliances formed within this corporate controlled environment, yet still maintain their independence from it?"
Feb. 24 11:40-1:00 p.m.,Room 271,"Peace, Love, Unity, and Respect: The Moral Economy of Rave Culture",Brittany Anderson Anderson,18,Hope Amason,Anthropology & Museum Studies,"Each year tens of thousands of individuals travel great distances to the largest rave event in the Pacific Northwest, located at an outdoor arena in Washington State. Social expectations at rave events such as this are forged by the rave values of peace, love, unity and respect, referred to by ravers as PLUR.  Ravers promote PLUR through the sharing of drugs, alcohol, kandi bracelets, and costumes. This presentation analyzes fieldwork from this rave in order to contemplate apparent contradictions within rave culture that are fostered when the moral economy of PLUR meets conspicuous consumption. Ravers strive for an economy outside market forces while at the same time reinforcing market economy through ticket sales, camping supplies, costumes, and original payments made for bartering material.  How do participants at raves practice solidarity yet remain individual and how are these two positions reflected in moral obligations and economy?"
Feb. 24 11:40-12:00 p.m.,Ballroom A,Site Specific Project,Katelyn White,19,Crystal Fullmer,"Physical Education, School & Public Health","This work is from the choreography class in which I had to create and perform a movement phrase in a location on campus. Creating this project really challenged me as a choreographer because we had to learn to work with objects in the environment while using at least five compositional devices. Growing up a dancer, there was always music to dance with, however in this project we had to use the background noise of our location as accompaniment. There is no meaning behind this dance; when I chose my site, near the green house facing D Street, I was trying to imagine movement that would compliment the trees, the bench, or the light pole. There were some aspects that were almost overwhelming because I had so many options in the space with which to work. One thing that helped me create this dance was focusing on the fun aspects. When I am told what I need to create I get stressed, but remembering simple things like playing in the park as a child really helped me. I focused on accumulation, dynamic variation, active stillness, and acceleration and began to have fun with simple movements, such as running from a tree to the light pole and spinning around. At one point I sat down on a bench and began to play and from there I was able to complete my dance."
Feb. 24 12:00-12:20 p.m.,Ballroom A,Only in Memory,Quinci Daoust,19,Crystal Fullmer,"Physical Education, School & Public Health","I choreographed <i>Only in Memory</i> for my final project in the choreography course. I wanted to create a humorous dance with movement inspired by animals, and it was at this time my dog lost her sight. There is no music because I was inspired by the sound scores of John Cage, an unorthodox, American composer. The final project in this course required that we choose a work of visual art and a poem as inspiration for our choreography. The poem I chose is called, <i>Running with Blind Dog</i> by Brian Demay. I discovered this poem while researching blindness. Lastly, my visual inspiration is a picture of a dog named Iggy. He is a Boston terrier with a glazed look in his eyes and drool dripping down his flat face. I found this picture to be amusing and weird, just as dogs can be. The picture was created by Araki Hirohiko, a Japanese artist, for the manga series titled, <i>Jojo’s Bizarre Adventure.</i> I had a Boston terrier for a long time and am familiar with how they move and act. I had no difficulty finding a dancer willing to be as energetic as a puppy, but the challenging part was in making the dancer appear to be blind. I want my dance to bring laughter and pity from those who watch it, while conveying the excitement that dogs hold for life even when misfortune has blinded them."
Feb. 24 12:20-12:40 p.m.,Ballroom A,Site Specific Project,Marie Turner,19,Crystal Fullmer,"Physical Education, School & Public Health","I created this work in the choreography class of fall 2014. For this project we had to find a location on campus and create a dance phrase of 1-2 minutes, in which the movement strongly correlates with the geography. Music was not used in the project and this made the choreographic process interesting because the atmosphere changed each day. I chose a bridge as my site which presented its own challenges. With people walking by, cars driving in the background and ducks quacking, they unintentionally became part of my choreography. Throughout the creative process I used many compositional devices and choreographic tools to create a cohesive dance. Using Rudolf Laban’s Basic Efforts as guidelines helped me focus on the actions of pressing, slashing, flicking, gliding and wringing. I found the compositional devices to be the most useful in this project in which we needed to use a minimum of six devices out of the ten we learned. I chose to focus on using repetition, acceleration/deceleration, accumulation, retrograde, active stillness and dynamic variation. Not having music and using the different efforts and devices was a new method of creating dance for me. I discovered new potential for movement invention because I was not tied to music. Overall I learned how important movement is by itself because people are given the freedom to interpret the dance without the help of music to give them the story."
Feb. 24 12:40-1:00 p.m.,Ballroom A,Dualities,Marie Turner,19,Therese Young,"Physical Education, School & Public Health","This piece was created in Orchesis during fall quarter and will be a part of the annual Orchesis end of the year dance performance. This piece began as a series of movements that I gradually put together to create a long unified movement. I found the song “Breathe Me” by Sia and decided to use this for my choreography because the music accented the movements perfectly. I originally planned on having 6 dancers but came to a final decision of 8. An even number was essential for this piece because the dance is based on finding yourself and fighting between who you are and who you want to be. The pathway to finding oneself can be difficult and can sometimes lead you in many directions, which is why I decided to name this piece “Dualities.” Throughout this dance there is a lot of partnering or movements that are soft and fluid while other movements are fast and strong to show the conflicting feelings people go through when finding their way through life. The dance starts off slow and peaceful and gradually becomes more chaotic and conflicting. Towards the end the dance, the movements slow down again as some dancers run or slowly walk off stage to show different ways of coping with change within oneself. The dance ends with the last two dancers facing each other to show that it is possible to overcome obstacles and find your true self."
Feb. 24 11:40-12:00 p.m.,Theatre,Pit of Greed Audio Demonstration,Eric  Durkopp,20,Michael  Ogden,Film and Video Studies,"Love, ambition, and deceit are three words describing the “Pit of Greed”. “Pit of Greed” is a film noir about the lovely Margo Blanche, a chauffeur of the long sought after crime lord “Bud”. Dale Drummond thinks he finally caught the missing piece connecting Bud to the crimes. Only, he discovers Mrs. Blanche has been the crime lord the whole time and Bud playing the pawn. “Pit of Greed” was created by the very stellar Central Washington University Motion Picture Club consisting of extremely motivated and passionate filmmakers. We put this film together for the film and video studies 48hr film slam competition. We were give only 48hrs to put a film together consisting of writing, casting, filming, and editing. With such a short time span, there were many issues ranging from equipment failure to cranky individuals. But the most devastating issue of the whole project was the audio. The audio in “Pit of Greed” had been neglected and needed to be fixed. It took many hours dedicated to post-production to fully clean up the audio. Even under such a tight deadline, the film was finished and went on to win best directing. You can see the film here: https://www.youtube.com/watch?v=QlEb5k3XKzA.  Eric Durkopp directed this film short."
Feb. 24 12:00-12:20 p.m.,Theatre,Therapy,Johnny Ranniger,20,Michael Ogden,Film and Video Studies,"Therapy is a short-film that's been in the works since last July, and I'm planning to present it in its entirety at SOURCE. Jackson Kelso recently lost his wife and son in a highway accident. Overcome with grief, he calls for an in-home therapist. The film will explore how debilitating a critical loss is to his humanity. "
Feb. 24 12:20-12:40 p.m.,Theatre,Film and Video Studies Promonal Video,Eric Durkopp,20,Jon Ward,Film and Video Studies,"The film and video studies program at Central Washington University has grown immensely since its creation in 2008. Since then, the program has gone on to graduate numerous majors studying in critical studies or production specializations. The program has upgraded its equipment to allow near Hollywood level productions and signed on new faculty members to feed the growing need of the students studying the major. Through all these fantastic improvements and upgrades there was one element lacking, a new promotional video. The old promotional video for the film and video studies program was very dated (created in 2008) and lacked many of the higher production values the program could now achieve. It could not effectively promote the program as it stands today. So in Jon Ward’s Corporate Media Production class, Nick Titus and I (Eric Durkopp) were chosen to create a new promotional video. We knew this promotional video had to demonstrate the program’s maturity in teaching the practical and theoretical, but also exhibit its capacity of high production filming at the same time. Achieving such a level was not an easy task and would require a balancing act to keep it all together. In the end, we believe we found that balance from our countless interviews of faculty and students alike. The film and video studies promotional video represents the program as a whole. It demonstrates what prospective students will receive if they choose to study at Central Washington University Film and Video Studies. "
Feb. 24 12:40-1:00 p.m.,Theatre,Wes Anderson & Mise-en-scene,Evan Catlin,20,Melissa Johnson,Film and Video Studies,"This short documentary gives the audience a small lesson in film's most basic concept: mise-en-scene. The documentary compares Wes Anderson's second film <i>Rushmore</i> to his three newest films: <i>Fantastic Mr. Fox</i>, <i>Moonrise Kingdom</i>, and <i>The Grand Budapest Hotel</i>. The documentary explores how Anderson and his team use sound, lighting, colors, and screen orientation to give their audience a feeling of excitement and wonder. This documentary marks the first time I had ever tackled such a project. I had to learn how to use a multitude of hardware and software on top of the creation of the documentary itself. This plight allowed me to strengthen my abilities as a filmmaker. The voiceover audio was recorded with a Blue Yeti and edited in Audacity, while the footage was edited together with Sony Vegas Pro 13."
